trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq,n_turbines_added
mc_20260807_0627_high_000033,mc_20260807_0627_high/task_0006,33,high,2026-08-07T06:30:26.519,2026-08-07T06:30:54.134,2026-08-07T06:30:26.523,2026-08-07T06:30:34.146,2026-08-07T06:30:34.147,0.0,7.62,0.0,19.99,27.61,21,8,1445,23616.0,5317.0,22.51,1.0,,8.894,8,0.1533,420
mc_20260807_0627_high_000034,mc_20260807_0627_high/task_0006,34,high,2026-08-07T06:30:54.134,2026-08-07T06:31:27.528,2026-08-07T06:30:54.137,2026-08-07T06:31:01.102,2026-08-07T06:31:01.102,0.0,6.96,0.0,26.43,33.39,22,9,1685,23616.0,8124.0,34.4,1.0,,8.687,8,0.157,646
mc_20260807_0627_high_000035,mc_20260807_0627_high/task_0007,35,high,2026-08-07T06:28:35.934,2026-08-07T06:28:59.100,2026-08-07T06:28:35.942,2026-08-07T06:28:44.545,2026-08-07T06:28:44.553,0.01,8.6,0.01,14.55,23.17,21,8,1028,23616.0,2779.0,11.77,1.0,,8.98,7,0.1523,204
mc_20260807_0627_high_000036,mc_20260807_0627_high/task_0007,36,high,2026-08-07T06:28:59.104,2026-08-07T06:29:25.526,2026-08-07T06:28:59.109,2026-08-07T06:29:07.313,2026-08-07T06:29:07.314,0.01,8.2,0.0,18.21,26.42,25,12,1318,23616.0,4944.2,20.94,1.0,,9.045,7,0.1574,408
mc_20260807_0627_high_000037,mc_20260807_0627_high/task_0007,37,high,2026-08-07T06:29:25.527,2026-08-07T06:29:48.241,2026-08-07T06:29:25.530,2026-08-07T06:29:31.881,2026-08-07T06:29:31.881,0.0,6.35,0.0,16.36,22.71,23,10,1187,23616.0,5629.5,23.84,1.0,,8.846,7,0.1588,457
mc_20260807_0627_high_000038,mc_20260807_0627_high/task_0007,38,high,2026-08-07T06:29:48.241,2026-08-07T06:30:19.582,2026-08-07T06:29:48.244,2026-08-07T06:29:54.492,2026-08-07T06:29:54.493,0.0,6.25,0.0,25.09,31.34,23,10,1463,23616.0,8039.0,34.04,1.0,,9.111,7,0.1688,688
mc_20260807_0627_high_000039,mc_20260807_0627_high/task_0007,39,high,2026-08-07T06:30:19.583,2026-08-07T06:30:43.785,2026-08-07T06:30:19.586,2026-08-07T06:30:26.395,2026-08-07T06:30:26.395,0.0,6.81,0.0,17.39,24.2,24,11,1248,23616.0,6551.0,27.74,1.0,,9.279,7,0.1399,535
mc_20260807_0627_high_000040,mc_20260807_0627_high/task_0008,40,high,2026-08-07T06:28:34.907,2026-08-07T06:29:17.307,2026-08-07T06:28:34.911,2026-08-07T06:28:42.232,2026-08-07T06:28:42.240,0.0,7.32,0.01,35.07,42.4,25,12,1340,23616.0,5465.0,23.14,1.0,,8.751,7,0.1403,445
mc_20260807_0627_high_000041,mc_20260807_0627_high/task_0008,41,high,2026-08-07T06:29:17.310,2026-08-07T06:29:55.032,2026-08-07T06:29:17.315,2026-08-07T06:29:24.902,2026-08-07T06:29:24.903,0.01,7.59,0.0,30.13,37.72,22,9,1511,23616.0,5842.8,24.74,1.0,,8.925,7,0.1398,498
mc_20260807_0627_high_000042,mc_20260807_0627_high/task_0008,42,high,2026-08-07T06:29:55.033,2026-08-07T06:30:31.106,2026-08-07T06:29:55.037,2026-08-07T06:30:01.749,2026-08-07T06:30:01.749,0.0,6.71,0.0,29.36,36.07,27,14,1555,23616.0,9359.0,39.63,1.0,,8.614,8,0.1533,820
mc_20260807_0627_high_000043,mc_20260807_0627_high/task_0008,43,high,2026-08-07T06:30:31.107,2026-08-07T06:30:56.091,2026-08-07T06:30:31.110,2026-08-07T06:30:39.733,2026-08-07T06:30:39.734,0.0,8.62,0.0,16.36,24.98,27,14,1197,23616.0,4581.5,19.4,1.0,,9.279,8,0.1336,390
mc_20260807_0627_high_000044,mc_20260807_0627_high/task_0008,44,high,2026-08-07T06:30:56.092,2026-08-07T06:31:21.970,2026-08-07T06:30:56.094,2026-08-07T06:31:03.773,2026-08-07T06:31:03.773,0.0,7.68,0.0,18.2,25.88,22,9,1414,23616.0,5388.2,22.82,1.0,,9.035,7,0.1751,483
mc_20260807_0627_high_000045,mc_20260807_0627_high/task_0009,45,high,2026-08-07T06:28:35.157,2026-08-07T06:29:32.933,2026-08-07T06:28:35.162,2026-08-07T06:28:41.461,2026-08-07T06:28:41.470,0.0,6.3,0.01,51.46,57.78,24,11,1746,23616.0,9194.8,38.93,1.0,,8.92,7,0.1545,734
mc_20260807_0627_high_000046,mc_20260807_0627_high/task_0009,46,high,2026-08-07T06:29:32.937,2026-08-07T06:30:04.337,2026-08-07T06:29:32.940,2026-08-07T06:29:41.415,2026-08-07T06:29:41.416,0.0,8.47,0.0,22.92,31.4,22,9,1266,23616.0,4215.0,17.85,1.0,,9.139,9,0.1336,341
